,S_AE,S_An,S_En,S_AF,S_EF,S_nF,S_A,S_E,S_n,S_F,V_tot
90,1.0535964361270945e-12,1.396708523083948e-12,1.5355039229716662e-12,2.560413379006752e-12,2.937154909766005e-12,2.6825570972433852e-12,8.608562265001081e-13,1.0144013532864413e-12,1.342599379708342e-12,1.5975060224221468e-12,7.96551442331702e-12
91,1.5092230993541114e-12,1.5699354177851932e-12,1.8457748686476957e-12,2.6544856489862722e-12,3.2251178574537074e-12,2.7274340589094817e-12,1.2405538856884315e-12,1.489188533084594e-12,1.5910905115726289e-12,1.4142616227363025e-12,8.245718536674254e-12
92,1.8838134464709892e-12,1.6670649891243436e-12,2.097616404083718e-12,2.6564990923196075e-12,3.399359916873985e-12,2.6407261451340818e-12,1.5460458403343565e-12,1.884434135227756e-12,1.6871704190238788e-12,1.2090357476606192e-12,8.4315151905151e-12
93,2.0955566188631544e-12,1.6659510384003618e-12,2.2342525078842437e-12,2.538536430096495e-12,3.395562477767702e-12,2.403737627863991e-12,1.7109270965817749e-12,2.1157055565372334e-12,1.6057551867746618e-12,9.987059657050522e-13,8.485006062247872e-12
94,2.0993788888064607e-12,1.5711686946660487e-12,2.2293094305580394e-12,2.297270349750079e-12,3.1861313200472814e-12,2.034887579540808e-12,1.7003250695524525e-12,2.1348566904979426e-12,1.36250662425348e-12,7.991613668901318e-13,8.397292712540923e-12
95,1.897518870803213e-12,1.4127733990100746e-12,2.0924711653907577e-12,1.956344713459688e-12,2.7881340569419433e-12,1.5882257565712807e-12,1.5192215400027304e-12,1.9412810645504396e-12,1.011367071377259e-12,6.230383466275051e-13,8.191678680217931e-12
96,1.5376066762148804e-12,1.2372802770155176e-12,1.8648626302833566e-12,1.56149967227084e-12,2.259534048511561e-12,1.14166804578958e-12,1.2102343596784036e-12,1.5807625747832731e-12,6.314154941047823e-13,4.783210407073041e-13,7.917393615508683e-12
97,1.0990059727498622e-12,1.0937887532367489e-12,1.6058740032294595e-12,1.1699089917318904e-12,1.6848889383877226e-12,7.782448328251545e-13,8.416414902978448e-13,1.132415231065542e-12,3.068105723130604e-13,3.681087601535869e-13,7.635797452409289e-12
98,6.718834719064271e-13,1.0198692628477634e-12,1.3759394102727055e-12,8.370489260181193e-13,1.155008340165244e-12,5.660080254139356e-13,4.895203388381984e-13,6.879440319482245e-13,1.0587148263637862e-13,2.9149472267234193e-13,7.403580564701556e-12
99,3.354384740539897e-13,1.0317185539254958e-12,1.2207935289714122e-12,6.04987325989236e-13,7.466663562200561e-13,5.425091983568249e-13,2.1946802818106455e-13,3.295675090064713e-13,6.541810074766227e-14,2.451742166202414e-13,7.258281973293697e-12
100,1.4133702748979848e-13,1.1213121085494898e-12,1.161683445159339e-12,4.951471052399354e-13,5.078556218939163e-13,7.079357993899227e-13,7.296325410281824e-14,1.127374468050039e-13,1.8442122127151735e-13,2.25224664030085e-13,7.210277589482617e-12
101,1.0605679713985362e-13,1.2606912714808537e-12,1.1935391364971882e-12,5.068403177651723e-13,4.5172002198619574e-13,1.0279473315609562e-12,6.139556187464013e-14,5.759529398933306e-14,4.2776220777950385e-13,2.285258592558369e-13,7.2428808531601406e-12
